smiles,logP,logD
CCO,1.9128425121307373,-0.961719274520874
CO,0.21894600987434387,-1.6091935634613037
C,0.6514483690261841,-0.34703537821769714
O,0.7333225011825562,-0.2654932141304016
CCO,2.118633270263672,-1.0844155550003052
CO,1.102627158164978,1.7153029441833496
C,-0.6241922974586487,-0.16328541934490204
O,-0.43787163496017456,1.1342449188232422
CCO,-0.012615302577614784,-0.5484268069267273
CO,-0.01793539524078369,2.3318142890930176
C,-0.07211793959140778,0.2670539319515228
O,0.06496226042509079,-0.9502922296524048
CCO,-0.32485756278038025,1.3160098791122437
CO,0.8510953187942505,0.3957017958164215
C,0.31794148683547974,-1.5612138509750366
O,0.4423167407512665,-0.7050999999046326
CCO,0.28133702278137207,-1.559133768081665
CO,0.3567807376384735,-0.17537328600883484
C,-0.2528696060180664,-0.5072067975997925
O,1.4413148164749146,-0.824780285358429
CCO,0.17521396279335022,-0.6368017792701721
CO,-0.020106971263885498,1.279753565788269
C,-0.08686123788356781,0.9707207679748535
O,0.29411113262176514,1.093692660331726
CCO,-0.4633340835571289,0.3762277364730835
CO,1.6503773927688599,0.10144749283790588
C,-0.07763883471488953,1.4213730096817017
O,-0.14072076976299286,-1.543129801750183
CCO,0.890809953212738,-1.774141550064087
CO,1.218763828277588,0.3312649130821228
C,-1.0551483631134033,-0.02834235690534115
O,-1.6347730159759521,0.7730892300605774
CCO,-1.1880273818969727,-0.24680496752262115
CO,-1.1135270595550537,2.306751251220703
C,0.2875751554965973,-0.42464059591293335
O,-1.9844084978103638,-1.408713459968567
CCO,-0.6971258521080017,-1.6454203128814697
CO,-0.9476104378700256,0.04249875992536545
C,-1.0240931510925293,1.8010591268539429
O,0.9094377160072327,0.523448646068573
CCO,0.15570387244224548,1.3865419626235962
CO,-0.19238848984241486,1.226153016090393
C,0.7904659509658813,0.7424017190933228
O,-0.8607498407363892,0.6620975732803345
CCO,-0.30054599046707153,-0.6466208696365356
CO,0.4255506694316864,0.15826815366744995
C,-0.47290146350860596,-0.6573818922042847
O,-1.356995940208435,0.522933304309845
CCO,0.8267824053764343,1.2072458267211914
CO,0.3199971914291382,-0.08643818646669388
C,-0.6025159358978271,0.07468942552804947
O,-1.1124507188796997,0.24388107657432556
CCO,0.09570953994989395,-1.4158190488815308
CO,-0.1087568923830986,-0.08341563493013382
C,0.43758291006088257,-1.3495049476623535
O,0.4010378420352936,-0.13493187725543976
CCO,-0.6831463575363159,1.1987873315811157
CO,1.6164470911026,1.4303556680679321
C,1.4085177183151245,0.7378060817718506
O,-0.8209383487701416,-0.3024362325668335
CCO,1.4380182027816772,1.4607881307601929
CO,-0.01605301909148693,-0.2706712782382965
C,-2.2193384170532227,0.8490108847618103
O,2.326578140258789,0.28415319323539734
CCO,-1.2200466394424438,-1.5516619682312012
CO,0.2941412031650543,0.2359834909439087
C,-0.26199761033058167,0.8725699186325073
O,-0.20328310132026672,-0.9918391108512878
CCO,-0.1734158843755722,-1.090488076210022
CO,2.0679173469543457,1.2940247058868408
C,-0.28517138957977295,0.5108569860458374
O,-0.19481758773326874,0.9717085957527161
CCO,0.07678679376840591,-0.6043593883514404
CO,-0.6206197142601013,2.651716709136963
C,-0.38216501474380493,-0.22661951184272766
O,0.6008334159851074,1.3996810913085938
CCO,-0.16125109791755676,0.5874435901641846
CO,0.5430678129196167,-0.8561429381370544
C,-0.5871214270591736,-1.6612309217453003
O,1.0438710451126099,1.484851360321045
CCO,-0.6926449537277222,-1.1024038791656494
CO,-0.9502128958702087,-1.5020991563796997
C,0.7240051031112671,1.4629250764846802
O,0.9284934997558594,-0.49120935797691345
CCO,-1.3575410842895508,-0.27131006121635437
CO,-1.168414831161499,0.809289276599884
C,1.5792118310928345,-0.6863105297088623
O,1.4555320739746094,0.6117817163467407
CCO,-1.2747001647949219,-1.1777012348175049
CO,1.2039107084274292,0.5880293250083923
C,-1.8889168500900269,0.4436418414115906
O,0.49002763628959656,-1.707350492477417
CCO,-1.8692792654037476,0.1602504998445511
CO,1.5489944219589233,0.27288955450057983
C,-0.18434441089630127,-0.6515899300575256
O,-0.019226793199777603,0.457396000623703
CCO,1.2567087411880493,0.3886428475379944
CO,0.7664818167686462,0.10586041212081909
C,-1.9641852378845215,-0.9632641077041626
O,0.2623767554759979,-0.2606549859046936
CCO,1.258262038230896,1.365502953529358
CO,2.4158968925476074,1.010605812072754
C,1.0691609382629395,1.160305380821228
O,0.86463463306427,-0.7707446813583374
CCO,-0.7693491578102112,1.841194748878479
CO,0.9310113191604614,-1.1623531579971313
C,1.0407414436340332,1.552117943763733
O,-0.13675329089164734,-1.021439552307129
CCO,0.3202124536037445,0.3487239480018616
CO,-0.6831468939781189,-0.32045137882232666
C,0.3835192322731018,-0.1942729949951172
O,1.1098601818084717,-0.2359996885061264
CCO,0.28555333614349365,-0.813244104385376
CO,1.198770523071289,-0.3079027831554413
C,0.743121862411499,0.9056615233421326
O,-0.43458977341651917,1.7135543823242188
CCO,0.3400815427303314,0.9095842242240906
CO,-0.6071423292160034,2.1383097171783447
C,0.40897682309150696,0.6387333273887634
O,-1.259326696395874,0.8832417726516724
CCO,0.6524709463119507,-1.060790777206421
CO,0.276654452085495,-1.2827601432800293
C,-0.8860841989517212,0.330511212348938
O,0.7430099844932556,-0.719215452671051
CCO,-0.35419419407844543,-2.6951756477355957
CO,-0.03909236192703247,0.0810689851641655
C,-0.4670531451702118,0.8315244317054749
O,,0.4716433584690094
